abstract,author,meta,subject,title
"The complicated, evolving landscape of cancer mutations poses a formidable
challenge to identify cancer genes among the large lists of mutations typically
generated in NGS experiments. The ability to prioritize these variants is
therefore of paramount importance. To address this issue we developed
OncoScore, a text-mining tool that ranks genes according to their association
with cancer, based on available biomedical literature. Receiver operating
characteristic curve and the area under the curve (AUC) metrics on manually
curated datasets confirmed the excellent discriminating capability of OncoScore
(OncoScore cut-off threshold = 21.09; AUC = 90.3%, 95% CI: 88.1-92.5%),
indicating that OncoScore provides useful results in cases where an efficient
prioritization of cancer-associated genes is needed.
","Rocco Piazza, Daniele Ramazzotti, Roberta Spinelli, Alessandra Pirola, Luca De Sano, Pierangelo Ferrari, Vera Magistroni, Nicoletta Cordani, Nitesh Sharma, Carlo Gambacorti-Passerini","Thu, 9 Mar 2017 01:24:23 GMT (948kb)",Genomics (q-bio.GN),"OncoScore: a novel, Internet-based tool to assess the oncogenic potential of genes"
"Mining textual patterns in news, tweets, papers, and many other kinds of text
corpora has been an active theme in text mining and NLP research. Previous
studies adopt a dependency parsing-based pattern discovery approach. However,
the parsing results lose rich context around entities in the patterns, and the
process is costly for a corpus of large scale. In this study, we propose a
novel typed textual pattern structure, called meta pattern, which is extended
to a frequent, informative, and precise subsequence pattern in certain context.
We propose an efficient framework, called MetaPAD, which discovers meta
patterns from massive corpora with three techniques: (1) it develops a
context-aware segmentation method to carefully determine the boundaries of
patterns with a learnt pattern quality assessment function, which avoids costly
dependency parsing and generates high-quality patterns; (2) it identifies and
groups synonymous meta patterns from multiple facets---their types, contexts,
and extractions; and (3) it examines type distributions of entities in the
instances extracted by each group of patterns, and looks for appropriate type
levels to make discovered patterns precise. Experiments demonstrate that our
proposed framework discovers high-quality typed textual patterns efficiently
from different genres of massive corpora and facilitates information
extraction.
","Meng Jiang, Jingbo Shang, Taylor Cassidy, Xiang Ren, Lance M. Kaplan, Timothy P. Hanratty, Jiawei Han","Mon, 13 Mar 2017 01:06:19 GMT (1150kb,D) [v2] Tue, 14 Mar 2017 20:26:32 GMT (1150kb,D)",Computation and Language (cs.CL),MetaPAD: Meta Pattern Discovery from Massive Text Corpora
"This paper is a tutorial on Formal Concept Analysis (FCA) and its
applications. FCA is an applied branch of Lattice Theory, a mathematical
discipline which enables formalisation of concepts as basic units of human
thinking and analysing data in the object-attribute form. Originated in early
80s, during the last three decades, it became a popular human-centred tool for
knowledge representation and data analysis with numerous applications. Since
the tutorial was specially prepared for RuSSIR 2014, the covered FCA topics
include Information Retrieval with a focus on visualisation aspects, Machine
Learning, Data Mining and Knowledge Discovery, Text Mining and several others.
",Dmitry I. Ignatov,"Wed, 8 Mar 2017 12:53:21 GMT (3541kb,D)",Information Retrieval (cs.IR),Introduction to Formal Concept Analysis and Its Applications in Information Retrieval and Related Fields
"Topic models have been widely used in discovering latent topics which are
shared across documents in text mining. Vector representations, word embeddings
and topic embeddings, map words and topics into a low-dimensional and dense
real-value vector space, which have obtained high performance in NLP tasks.
However, most of the existing models assume the result trained by one of them
are perfect correct and used as prior knowledge for improving the other model.
Some other models use the information trained from external large corpus to
help improving smaller corpus. In this paper, we aim to build such an algorithm
framework that makes topic models and vector representations mutually improve
each other within the same corpus. An EM-style algorithm framework is employed
to iteratively optimize both topic model and vector representations.
Experimental results show that our model outperforms state-of-art methods on
various NLP tasks.
","Jarvan Law, Hankz Hankui Zhuo, Junhua He, Erhu Rong (Dept. of Computer Science, Sun Yat-Sen University, GuangZhou, China.)","Thu, 23 Feb 2017 07:16:03 GMT (96kb,D)",Computation and Language (cs.CL),LTSG: Latent Topical Skip-Gram for Mutually Learning Topic Model and Vector Representations
"Entity extraction is fundamental to many text mining tasks such as
organisation name recognition. A popular approach to entity extraction is based
on matching sub-string candidates in a document against a dictionary of
entities. To handle spelling errors and name variations of entities, usually
the matching is approximate and edit or Jaccard distance is used to measure
dissimilarity between sub-string candidates and the entities. For approximate
entity extraction from free text, existing work considers solely
character-based or solely token-based similarity and hence cannot
simultaneously deal with minor variations at token level and typos. In this
paper, we address this problem by considering both character-based similarity
and token-based similarity (i.e. two-level similarity). Measuring one-level
(e.g. character-based) similarity is computationally expensive, and measuring
two-level similarity is dramatically more expensive. By exploiting the
properties of the two-level similarity and the weights of tokens, we develop
novel techniques to significantly reduce the number of sub-string candidates
that require computation of two-level similarity against the dictionary of
entities. A comprehensive experimental study on real world datasets show that
our algorithm can efficiently extract entities from documents and produce a
high F1 score in the range of [0.91, 0.97].
","Zeyi Wen, Dong Deng, Rui Zhang, Kotagiri Ramamohanarao","Sun, 12 Feb 2017 12:46:40 GMT (89kb)",Databases (cs.DB),A Technical Report: Entity Extraction using Both Character-based and Token-based Similarity
"Explicit concept space models have proven efficacy for text representation in
many natural language and text mining applications. The idea is to embed
textual structures into a semantic space of concepts which captures the main
topics of these structures. That so called bag-of-concepts representation
suffers from data sparsity causing low similarity scores between similar texts
due to low concept overlap. In this paper we propose two neural embedding
models in order to learn continuous concept vectors. Once learned, we propose
an efficient vector aggregation method to generate fully dense bag-of-concepts
representations. Empirical results on a benchmark dataset for measuring entity
semantic relatedness show superior performance over other concept embedding
models. In addition, by utilizing our efficient aggregation method, we
demonstrate the effectiveness of the densified vector representation over the
typical sparse representations for dataless classification where we can achieve
at least same or better accuracy with much less dimensions.
","Walid Shalaby, Wlodek Zadrozny","Fri, 10 Feb 2017 22:44:59 GMT (344kb)",Computation and Language (cs.CL),Learning Concept Embeddings for Efficient Bag-of-Concepts Densification
"Many contemporary statistical learning methods assume a Euclidean feature
space, however, the ""curse of dimensionality"" associated with high feature
dimensions is particularly severe for the Euclidean distance. This paper
presents a method for defining similarity based on hyperspherical geometry and
shows that it often improves the performance of support vector machine compared
to other competing similarity measures. Specifically, the idea of using heat
diffusion on a hypersphere to measure similarity has been proposed and tested
by \citet{Lafferty:2015uy}, demonstrating promising results based on an
approximate heat kernel, however, the exact hyperspherical heat kernel hitherto
remains unknown. In this paper, we derive an exact form of the heat kernel on a
unit hypersphere in terms of a uniformly and absolutely convergent series in
high-dimensional angular momentum eigenmodes. Being a natural measure of
similarity between sample points dwelling on a hypersphere, the exact kernel
often shows superior performance in kernel SVM classifications applied to text
mining, tumor somatic mutation imputation, and stock market analysis. The
improvement in classification accuracy compared with kernels based on Euclidean
geometry may arise from ameliorating the curse of dimensionality on compact
manifolds.
","Chenchao Zhao, Jun S. Song","Sun, 5 Feb 2017 04:55:14 GMT (1209kb,D)",Machine Learning (stat.ML),Exact heat kernel on a hypersphere and its applications in kernel SVM
"The edit distance is a basic string similarity measure used in many
applications such as text mining, signal processing, bioinformatics, and so on.
However, the computational cost can be a problem when we repeat many distance
calculations as seen in real-life searching situations. A promising solution to
cope with the problem is to approximate the edit distance by another distance
with a lower computational cost. There are, indeed, many distances have been
proposed for approximating the edit distance. However, their approximation
accuracies are evaluated only theoretically: many of them are evaluated only
with big-oh (asymptotic) notations, and without experimental analysis.
Therefore, it is beneficial to know their actual performance in real
applications. In this study we compared existing six approximation distances in
two approaches: (i) we refined their theoretical approximation accuracy by
calculating up to the constant coefficients, and (ii) we conducted some
experiments, in one artificial and two real-life data sets, to reveal under
which situations they perform best. As a result we obtained the following
results: [Batu 2006] is the best theoretically and [Andoni 2010]
experimentally. Theoretical considerations show that [Batu 2006] is the best if
the string length n is large enough (n >= 300). [Andoni 2010] is experimentally
the best for most data sets and theoretically the second best. [Bar-Yossef
2004], [Charikar 2006] and [Sokolov 2007], despite their middle-level
theoretical performance, are experimentally as good as [Andoni 2010] for pairs
of strings with large alphabet size.
","Hiroyuki Hanada, Mineichi Kudo, Atsuyoshi Nakamura","Sun, 22 Jan 2017 07:40:52 GMT (1402kb)",Data Structures and Algorithms (cs.DS),On Practical Accuracy of Edit Distance Approximation Algorithms
"With the rapid growth of social media on the web, emotional polarity
computation has become a flourishing frontier in the text mining community.
However, it is challenging to understand the latest trends and summarize the
state or general opinions about products due to the big diversity and size of
social media data and this creates the need of automated and real time opinion
extraction and mining. On the other hand, the bulk of current research has been
devoted to study the subjective sentences which contain opinion keywords and
limited work has been reported for objective statements that imply sentiment.
In this paper, fuzzy based knowledge engineering model has been developed for
sentiment classification of special group of such sentences including the
change or deviation from desired range or value. Drug reviews are the rich
source of such statements. Therefore, in this research, some experiments were
carried out on patient's reviews on several different cholesterol lowering
drugs to determine their sentiment polarity. The main conclusion through this
study is, in order to increase the accuracy level of existing drug opinion
mining systems, objective sentences which imply opinion should be taken into
account. Our experimental results demonstrate that our proposed model obtains
over 72 percent F1 value.
","Amir Hossein Yazdavar, Monireh Ebrahimi, Naomie Salim","Tue, 3 Jan 2017 19:41:24 GMT (1049kb)",Computation and Language (cs.CL),Fuzzy Based Implicit Sentiment Analysis on Quantitative Sentences
"We introduce our explorative historical leveled approach that we use to
understand drug debates in the Royal Dutch Library's digital newspaper archive.
In this approach we alternate between distant reading and close reading.
Furthermore, we use this approach to evaluate two text mining tools:
AVResearcherXL and Texcavator.
","Berrie van der Molen, Lars Buitinck, Toine Pieters","Mon, 2 Jan 2017 12:16:11 GMT (135kb)",Human-Computer Interaction (cs.HC),The leveled approach. Using and evaluating text mining tools AVResearcherXL and Texcavator for historical research on public perceptions of drugs
