Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Link,Abstract,Author Keywords
"Merz J., Overesch M., Wamser G.","The location of financial sector FDI: Tax and regulation policy",2017,"Journal of Banking and Finance","78",,,"14","26",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012257898&doi=10.1016%2fj.jbankfin.2017.01.001&partnerID=40&md5=3e39e7f6a6a2b23d1306ddbbdbd0d144","This paper analyzes how corporate taxation and regulatory requirements affect the location of financial sector FDI. We use novel information on new financial services entities established by multinational firms in 83 host countries. We find a negative effect of host country taxes on the probability of choosing a particular host location. We can also confirm a significant influence of the regulatory environment. For example, stricter (equity) capital requirements negatively affect location probabilities. Our empirical approach allows us to provide new insight in how a policy measure of a given country affects other countries by estimating cross-country tax and regulation elasticities. © 2017 Elsevier B.V.","Corporate taxation; Financial sector taxation; Mixed logit model; Multinational banks"
"Berg T., Koziol P.","An analysis of the consistency of banks’ internal ratings",2017,"Journal of Banking and Finance","78",,,"27","41",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011824678&doi=10.1016%2fj.jbankfin.2017.01.013&partnerID=40&md5=e63ae7d38689d13acf5ea3297edd0547","Internal ratings-based models are used for a variety of important bank and regulatory decisions. Thus, model risk – the potential for different models to provide different probability-of-default (PD) estimates – is of crucial importance. Using a comprehensive German credit registry dataset from 40 banks and 17,000 corporate borrowers from 2008–2012, we assess the consistency of internal PD estimates across banks. We find three main results. First, the variability of PD estimates for the same borrower across banks is large. Second, bank fixed effects explain 5% of the variation in PD estimates across banks, while 95% of the variation is idiosyncratic. For the 10 largest banks in our sample, reported regulatory capital ratios would change by a maximum of ±10%, equivalent to approximately 1 percentage point, when using average risk weights from all banks instead of risk weights based on banks’ individual PD estimates. Third, we explore various bank characteristics that explain the size of bank fixed effects. © 2017 Elsevier B.V.","Bank incentives; Bank regulation; Basel minimum capital requirements; Internal ratings; IRB approach"
"Goodstein R.M., Rhine S.L.W.","The effects of bank and nonbank provider locations on household use of financial transaction services",2017,"Journal of Banking and Finance","78",,,"91","107",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013827217&doi=10.1016%2fj.jbankfin.2017.01.016&partnerID=40&md5=f323113f139b90bc704b09663441c806","We examine the influence that geographic proximity to bank branches and nonbank financial providers has on use of financial transaction services among U.S. households. We specify a bivariate probit model of bank account ownership and nonbank transaction product use to reflect the joint nature of these choices, and estimate the model on a large, nationally representative dataset. Our results indicate that households with reasonable geographic access to bank branches are more likely to have a bank account and less likely to use nonbank transaction products. The influence of bank and nonbank provider locations is fairly modest overall, although effects are bigger for households that are more likely to be on the margin of bank account ownership. Even among such households, however, the effects of bank and nonbank provider locations on financial transaction services use are not as large as those associated with key household-level attributes, such as income, education, or race. © 2017","Alternative financial services providers; Banking industry; Financial decision-making; Household finance"
"Ha Y., Ko K.","Why do fund managers increase risk?",2017,"Journal of Banking and Finance","78",,,"108","116",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013667196&doi=10.1016%2fj.jbankfin.2017.01.018&partnerID=40&md5=b22a39545ef0922ffc7c932b929066d9","This paper examines the relationship between the increase in fund risk and subsequent cash flows. We attempt to test the hypothesis that an increase in fund risk actually increases the net flows of equity funds, which is a basic assumption of risk shifting. We find that a change in fund risk has a positive and convex relationship with the fund's net flows. The effect of risk changes on net flows is a natural consequence of its effects on inflows and outflows. This paper's empirical results are robust to return frequency, fund age, and fund size. Our findings create incentives for managers to shift risk as documented in the mutual fund literature. © 2017 Elsevier B.V.","Agency problem; Inflows; Net flows; Outflows; Risk increase"
"Agarwal S., Chomsisengphet S., Zhang Y.","How does working in a finance profession affect mortgage delinquency?",2017,"Journal of Banking and Finance","78",,,"1","13",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012272773&doi=10.1016%2fj.jbankfin.2017.01.019&partnerID=40&md5=0e87b5c942ee93234af619f9a1f3c8cc","This paper uses a dataset from a leading American subprime lender, which contains detailed information on borrower and loan characteristics. We find that financial professionals are less likely to become delinquent. This effect cannot be explained by borrower characteristics, such as income, education, loan terms, property characteristics, geographic effects, or strategic default. We also find variation in the effect of working in a financial profession across borrowers of different ages and income levels. We discuss explanations for these results. © 2017 Elsevier B.V.","Financial crisis; Financial professional; Household finance; Mortgage"
"van de Leur M.C.W., Lucas A., Seeger N.J.","Network, market, and book-based systemic risk rankings",2017,"Journal of Banking and Finance","78",,,"84","90",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013230435&doi=10.1016%2fj.jbankfin.2017.02.003&partnerID=40&md5=665d32b01e68b2aebaaa636245f9e421","We investigate the information content of stock correlation based network measures for systemic risk rankings, such as SIFIRank (based on Google's PageRank). Using European banking data, we show that SIFIRank is empirically equivalent to a ranking based on average pairwise stock correlations as developed in this paper. The correlation based network measures complement currently available alternative systemic risk ranking methods based on book or market values. A further analytical investigation shows that the value-added appears to be mainly attributable to pairwise cross-sectional heterogeneity rather than to more subtle network relations and feedback loops. © 2017 Elsevier B.V.","European banking sector; Network based risk measures; Systemic risk ranking; Systemically important financial institutions (SIFI)"
"Magnac T.","ATM foreign fees and cash withdrawals",2017,"Journal of Banking and Finance","78",,,"117","129",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014031782&doi=10.1016%2fj.jbankfin.2017.02.001&partnerID=40&md5=69d441f358dcc04cd038dc7fc1ff0c79","We evaluate the impact of “foreign” fees paid by consumers on their cash withdrawals at automatic teller machines (henceforth ATMs). These so called foreign fees are paid when consumers withdraw cash from ATMs which are not owned by their home bank. We take advantage of a natural experiment whereby (non linear) foreign ATM fees in one specific bank became suddenly applicable at one point in time. We also use this experiment to evaluate the substitutions between foreign ATM withdrawals and other home ATM or desk withdrawals as well as with payments by card. Using panel data on accounts, we first estimate average treatment effects on the treated before carrying on with the estimation of a simple structural model. The latter procedure allows us to compute the counterfactual impacts of changing the schedule of foreign fees. Impacts are sizeable on bank profits and consumer welfare. © 2017 Elsevier B.V.","Cash holding; Costs of means of payment; Policy evaluation; Treatment effects"
"Gathergood J., Weber J.","Financial literacy, present bias and alternative mortgage products",2017,"Journal of Banking and Finance","78",,,"58","83",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011968096&doi=10.1016%2fj.jbankfin.2017.01.022&partnerID=40&md5=ffe232662d079e96bf7c5c1868822b17","Choosing a mortgage is one of the most important financial decisions made by a household. Financial innovation has given rise to more complex mortgage products with back-loaded payments, known as ‘Alternative Mortgage Products’ (AMPs), or ‘Interest-Only Mortgages’. Using a specially designed question module in a representative survey of UK mortgage holders, we investigate the effect of consumer financial sophistication on the decision to choose an AMP instead of a standard repayment mortgage. We show poor financial literacy and present bias raise the likelihood of choosing an AMP. Financially literate individuals are also more likely to choose an Adjustable Rate Mortgage (ARM), suggesting they avoid paying the term premium of a fixed rate mortgage. © 2017 Elsevier B.V.","Alternative mortgage products; Financial literacy; Mortgages; Present bias"
"Siganos A., Vagenas-Nanos E., Verwijmeren P.","Divergence of sentiment and stock market trading",2017,"Journal of Banking and Finance","78",,,"130","141",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014132837&doi=10.1016%2fj.jbankfin.2017.02.005&partnerID=40&md5=79907eefe8224c8ff1ee41d7212e615c","This paper introduces the concept of divergence of sentiment to the behavioral finance literature. We measure the distance between people with positive and negative sentiment on a daily basis for 20 countries by using data from status updates on Facebook. The prediction is that a higher divergence of sentiment leads to more diverging views on prospects and risks, and thus to more diverging views on the value of a stock. In line with this prediction, divergence of sentiment is positively related to trading volume. We further predict and find a positive relation between divergence of sentiment and stock price volatility. The observed relations are stronger when individual investors are more likely to trade. We compare the effect of our country-specific measures to a global measure of divergence of sentiment. We find that the separate effects of country-specific and global divergence measures depend on a country's level of market integration. © 2017 Elsevier B.V.","Disagreement models; Divergence of opinion; Market integration; Sentiment; Small investors"
"Cao C., Iliev P., Velthuis R.","Style drift: Evidence from small-cap mutual funds",2017,"Journal of Banking and Finance","78",,,"42","57",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011954042&doi=10.1016%2fj.jbankfin.2017.01.009&partnerID=40&md5=c6da854ab14370dd09313823c1bd4f40","This paper documents that small-cap mutual funds allocate on average 27% of their portfolio to mid- and large-cap stocks. We find that larger and older small-cap funds are more likely to hold mid- and large-cap stocks, consistent with funds straying from their objective over time. Funds that invest heavily in mid- and large-cap stocks expose their investors to unanticipated risks but investors do not experience higher abnormal returns or performance persistence overall. These funds did outperform their peers by 3% annually in the most recent period between January 2003 and March 2010. © 2017 Elsevier B.V.","Investment objectives; Mutual funds; Small-cap; Style drift"
"Díaz V., Huang Y.","The role of governance on bank liquidity creation",2017,"Journal of Banking and Finance","77",,,"137","156",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010380129&doi=10.1016%2fj.jbankfin.2017.01.003&partnerID=40&md5=01e9730fd3f39ed16842e02598151507","This paper examines the impact of internal bank governance on bank liquidity creation in the U.S. before, during and after the 2007–2009 financial crisis. Using bank holding company level data, we analyze whether better-governed banks create higher levels of liquidity. We find that this effect is positive and significant but only for large bank holding companies. Further analysis reveals that specific internal governance categories: CEO education, compensation structure, progressive practices, and ownership have a significant effect on bank liquidity. However, this positive effect occurs mostly during the crisis period, and for large banks that are also high liquidity creators. Finally, we find that the effect of governance on liquidity creation increases during the crisis period. These findings are robust even while controlling for liquidity measures, bank size, and endogeneity problems between governance and liquidity creation. © 2017 Elsevier B.V.","Bank holding companies; Compensation; Crisis; Governance; Liquidity creation"
"Boubaker S., Gounopoulos D., Nguyen D.K., Paltalidis N.","Assessing the effects of unconventional monetary policy and low interest rates on pension fund risk incentives",2017,"Journal of Banking and Finance","77",,,"35","52",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009187895&doi=10.1016%2fj.jbankfin.2016.12.007&partnerID=40&md5=73b881693c3d31ffd223999cf825e851","This study quantifies the effects of persistently low interest rates near to the zero lower bound and unconventional monetary policy on pension fund risk incentives in the United States. Using two structural vector autoregressive (VAR) models and a counterfactual scenario analysis, the results show that monetary policy shocks, as identified by changes in Treasury yields following changes in the central bank's target interest rates, lead to a substantial increase in pension funds’ allocation to equity assets. Notably, the shift from bonds to equity securities is greater during the period where the US Federal Reserve launched unconventional monetary policy measures. Additional findings show a positive correlation between pension fund risk-taking, low interest rates and the decline in Treasury yields across both well-funded and underfunded public pension plans, which is thus consistent with a structural risk-shifting incentive. © 2016 Elsevier B.V.","Asset allocation; Interest rates; Pension funds; Unconventional monetary policy"
"El Ghoul S., Karoui A.","Does corporate social responsibility affect mutual fund performance and flows?",2017,"Journal of Banking and Finance","77",,,"53","63",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009827481&doi=10.1016%2fj.jbankfin.2016.10.009&partnerID=40&md5=cc0106c7d13eb726b222de55f1bae33d","We use an asset-weighted composite corporate social responsibility (CSR) fund score to study the effects of CSR on fund performance and flows. Compared to low-CSR funds, high-CSR funds display poorer performance, stronger performance persistence, a weaker performance-flow relationship, and comparable persistence in flows. These findings are consistent with investors in high-CSR funds deriving utility from non-performance attributes. © 2016 Elsevier B.V.","Corporate social responsibility; Mutual fund flows; Mutual fund performance; Socially responsible investing"
"Che X., Liebenberg A.P.","Effects of business diversification on asset risk-taking: Evidence from the U.S. property-liability insurance industry",2017,"Journal of Banking and Finance","77",,,"122","136",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010383242&doi=10.1016%2fj.jbankfin.2017.01.004&partnerID=40&md5=d3f6e2e61b97a6670c98d8fd3b3d0731","We investigate the effect of line-of-business diversification on asset risk-taking in the U.S. property-liability industry. The coordinated risk management hypothesis (Schrand and Unal, 1998) implies a negative relation between underwriting risk and investment risk. Consistent with this hypothesis we find that diversified insurers take more asset risk than non-diversified insurers, and that the degree of asset risk-taking is positively related to diversification extent. Our results are robust to corrections for potential endogeneity bias, selectivity bias, and alternative diversification and asset risk measures. We also provide event study evidence that further supports the coordinated risk management hypothesis. Specifically, we find that when a focused firm diversifies, it increases its asset risk relative to firms that remain focused, and when a diversified firm refocuses, it reduces its asset risk relative to firms that remain diversified. © 2017 Elsevier B.V.","Asset risk; Diversification; Insurance"
