Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Link,Abstract,Author Keywords
"Alterman M., Schechner Y.Y., Swirski Y.","Triangulation in random refractive distortions",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","3", 7448905,"603","616",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012898446&doi=10.1109%2fTPAMI.2016.2551740&partnerID=40&md5=106e7c24884b82d7509a31f091138a6b","Random refraction occurs in turbulence and through a wavy water-air interface. It creates distortion that changes in space, time and with viewpoint. Localizing objects in three dimensions (3D) despite this random distortion is important to some predators and also to submariners avoiding the salient use of periscopes. We take a multiview approach to this task. Refracted distortion statistics induce a probabilistic relation between any pixel location and a line of sight in space. Measurements of an object's random projection from multiple views and times lead to a likelihood function of the object's 3D location. The likelihood leads to estimates of the 3D location and its uncertainty. Furthermore, multiview images acquired simultaneously in a wide stereo baseline have uncorrelated distortions. This helps reduce the acquisition time needed for localization. The method is demonstrated in stereoscopic video sequences, both in a lab and a swimming pool. © 1979-2012 IEEE.","likelihood; probability; stereo; triangulation; Underwater"
"Tao M.W., Srinivasan P.P., Hadap S., Rusinkiewicz S., Malik J., Ramamoorthi R.","Shape estimation from shading, defocus, and correspondence using light-field angular coherence",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","3", 7452621,"546","560",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012867205&doi=10.1109%2fTPAMI.2016.2554121&partnerID=40&md5=593299056effbd12f86c5bb9e10eb53c","Light-field cameras are quickly becoming commodity items, with consumer and industrial applications. They capture many nearby views simultaneously using a single image with a micro-lens array, thereby providing a wealth of cues for depth recovery: Defocus, correspondence, and shading. In particular, apart from conventional image shading, one can refocus images after acquisition, and shift one's viewpoint within the sub-apertures of the main lens, effectively obtaining multiple views. We present a principled algorithm for dense depth estimation that combines defocus and correspondence metrics. We then extend our analysis to the additional cue of shading, using it to refine fine details in the shape. By exploiting an all-in-focus image, in which pixels are expected to exhibit angular coherence, we define an optimization framework that integrates photo consistency, depth consistency, and shading consistency. We show that combining all three sources of information: Defocus, correspondence, and shading, outperforms state-of-the-art light-field depth estimation algorithms in multiple scenarios. © 1979-2012 IEEE.","3D reconstruction; depth cues; Light fields; reflection components separation; shape from shading; specular-free image"
"Wang B., Wang G., Chan K.L., Wang L.","Tracklet association by online target-specific metric learning and coherent dynamics estimation",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","3", 7448472,"589","602",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012905120&doi=10.1109%2fTPAMI.2016.2551245&partnerID=40&md5=56b84033749169269135630660a11773","In this paper, we present a novel method based on online target-specific metric learning and coherent dynamics estimation for tracklet (track fragment) association by network flow optimization in long-term multi-person tracking. Our proposed framework aims to exploit appearance and motion cues to prevent identity switches during tracking and to recover missed detections. Furthermore, target-specific metrics (appearance cue) and motion dynamics (motion cue) are proposed to be learned and estimated online, i.e., during the tracking process. Our approach is effective even when such cues fail to identify or follow the target due to occlusions or object-to-object interactions. We also propose to learn the weights of these two tracking cues to handle the difficult situations, such as severe occlusions and object-to-object interactions effectively. Our method has been validated on several public datasets and the experimental results show that it outperforms several state-of-the-art tracking methods. © 1979-2012 IEEE.","motion dynamics; Multi-object tracking; network flow optimization; target-specific metric learning; tracklet association"
"Elhayek A., De Aguiar E., Jain A., Thompson J., Pishchulin L., Andriluka M., Bregler C., Schiele B., Theobalt C.","MARCOnI - ConvNet-Based MARker-less motion capture in outdoor and indoor scenes",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","3", 7457717,"501","514",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012890112&doi=10.1109%2fTPAMI.2016.2557779&partnerID=40&md5=ad55f37c9a399821cace660000fa49a8","Marker-less motion capture has seen great progress, but most state-of-the-art approaches fail to reliably track articulated human body motion with a very low number of cameras, let alone when applied in outdoor scenes with general background. In this paper, we propose a method for accurate marker-less capture of articulated skeleton motion of several subjects in general scenes, indoors and outdoors, even from input filmed with as few as two cameras. The new algorithm combines the strengths of a discriminative image-based joint detection method with a model-based generative motion tracking algorithm through an unified pose optimization energy. The discriminative part-based pose detection method is implemented using Convolutional Networks (ConvNet) and estimates unary potentials for each joint of a kinematic skeleton model. These unary potentials serve as the basis of a probabilistic extraction of pose constraints for tracking by using weighted sampling from a pose posterior that is guided by the model. In the final energy, we combine these constraints with an appearance-based model-to-image similarity term. Poses can be computed very efficiently using iterative local optimization, since joint detection with a trained ConvNet is fast, and since our formulation yields a combined pose estimation energy with analytic derivatives. In combination, this enables to track full articulated joint angles at state-of-the-art accuracy and temporal stability with a very low number of cameras. Our method is efficient and lends itself to implementation on parallel computing hardware, such as GPUs. We test our method extensively and show its advantages over related work on many indoor and outdoor data sets captured by ourselves, as well as data sets made available to the community by other research labs. The availability of good evaluation data sets is paramount for scientific progress, and many existing test data sets focus on controlled indoor settings, do not feature much variety in the scenes, and often lack a large corpus of data with ground truth annotation. We therefore further contribute with a new extensive test data set called MPI-MARCOnI for indoor and outdoor marker-less motion capture that features 12 scenes of varying complexity and varying camera count, and that features ground truth reference data from different modalities, ranging from manual joint annotations to marker-based motion capture results. Our new method is tested on these data, and the data set will be made available to the community. © 1979-2012 IEEE.","convolutional neural networks; marker-less motion capture; Motion capture; multi-model dataset"
"Biggio B., Fumera G., Marcialis G.L., Roli F.","Statistical meta-analysis of presentation attacks for secure multibiometric systems",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","3", 7458874,"561","575",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012933450&doi=10.1109%2fTPAMI.2016.2558154&partnerID=40&md5=1aebf35b4163c0245b19d26cde394d6e","Prior work has shown that multibiometric systems are vulnerable to presentation attacks, assuming that their matching score distribution is identical to that of genuine users, without fabricating any fake trait. We have recently shown that this assumption is not representative of current fingerprint and face presentation attacks, leading one to overestimate the vulnerability of multibiometric systems, and to design less effective fusion rules. In this paper, we overcome these limitations by proposing a statistical meta-model of face and fingerprint presentation attacks that characterizes a wider family of fake score distributions, including distributions of known and, potentially, unknown attacks. This allows us to perform a thorough security evaluation of multibiometric systems against presentation attacks, quantifying how their vulnerability may vary also under attacks that are different from those considered during design, through an uncertainty analysis. We empirically show that our approach can reliably predict the performance of multibiometric systems even under never-before-seen face and fingerprint presentation attacks, and that the secure fusion rules designed using our approach can exhibit an improved trade-off between the performance in the absence and in the presence of attack. We finally argue that our method can be extended to other biometrics besides faces and fingerprints. © 1979-2012 IEEE.","presentation attacks; secure multibiometric fusion; security evaluation; Statistical meta-analysis; uncertainty analysis"
"Yang J., Yang M.-H.","Top-down visual saliency via joint CRF and dictionary learning",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","3", 7442536,"576","588",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012878987&doi=10.1109%2fTPAMI.2016.2547384&partnerID=40&md5=ea195206d8539eb6b4ae073859d77ed5","Top-down visual saliency is an important module of visual attention. In this work, we propose a novel top-down saliency model that jointly learns a Conditional Random Field (CRF) and a visual dictionary. The proposed model incorporates a layered structure from top to bottom: CRF, sparse coding and image patches. With sparse coding as an intermediate layer, CRF is learned in a feature-adaptive manner; meanwhile with CRF as the output layer, the dictionary is learned under structured supervision. For efficient and effective joint learning, we develop a max-margin approach via a stochastic gradient descent algorithm. Experimental results on the Graz-02 and PASCAL VOC datasets show that our model performs favorably against state-of-the-art top-down saliency methods for target object localization. In addition, the dictionary update significantly improves the performance of our model. We demonstrate the merits of the proposed top-down saliency model by applying it to prioritizing object proposals for detection and predicting human fixations. © 1979-2012 IEEE.","dictionary learning and conditional random fields; fixation prediction; top-down visual saliency; Visual saliency"
"Trigeorgis G., Bousmalis K., Zafeiriou S., Schuller B.W.","A deep matrix factorization method for learning attribute representations",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","3", 7453156,"417","429",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012894180&doi=10.1109%2fTPAMI.2016.2554555&partnerID=40&md5=b2b6d6a722634f7a9cb01c70acdba4ac","Semi-Non-negative Matrix Factorization is a technique that learns a low-dimensional representation of a dataset that lends itself to a clustering interpretation. It is possible that the mapping between this new representation and our original data matrix contains rather complex hierarchical information with implicit lower-level hidden attributes, that classical one level clustering methodologies cannot interpret. In this work we propose a novel model, Deep Semi-NMF, that is able to learn such hidden representations that allow themselves to an interpretation of clustering according to different, unknown attributes of a given dataset. We also present a semi-supervised version of the algorithm, named Deep WSF, that allows the use of (partial) prior information for each of the known attributes of a dataset, that allows the model to be used on datasets with mixed attribute knowledge. Finally, we show that our models are able to learn low-dimensional representations that are better suited for clustering, but also classification, outperforming Semi-Non-negative Matrix Factorization, but also other state-of-the-art methodologies variants. © 1979-2012 IEEE.","deep semi-NMF; Deep WSF; face classification; face clustering; matrix factorization; Semi-NMF; semi-supervised learning; unsupervised feature learning; WSF"
"Martin-Clemente R., Zarzoso V.","On the link between L1-PCA and ICA",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","3", 7497466,"515","528",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012923018&doi=10.1109%2fTPAMI.2016.2557797&partnerID=40&md5=3ab21ca95039550d8a80ccd1d0010477","Principal component analysis (PCA) based on L1-norm maximization is an emerging technique that has drawn growing interest in the signal processing and machine learning research communities, especially due to its robustness to outliers. The present work proves that L1-norm PCA can perform independent component analysis (ICA) under the whitening assumption. However, when the source probability distributions fulfil certain conditions, the L1-norm criterion needs to be minimized rather than maximized, which can be accomplished by simple modifications on existing optimal algorithms for L1-PCA. If the sources have symmetric distributions, we show in addition that L1-PCA is linked to kurtosis optimization. A number of numerical experiments illustrate the theoretical results and analyze the comparative performance of different algorithms for ICA via L1-PCA. Although our analysis is asymptotic in the sample size, this equivalence opens interesting new perspectives for performing ICA using optimal algorithms for L1-PCA with guaranteed global convergence while inheriting the increased robustness to outliers of the L1-norm criterion. © 1979-2012 IEEE.","feature evaluation and selection; Feature extraction or construction; feature representation; independent component analysis; interactive data exploration and discovery; L1-norm; multivariate statistics; principal component analysis"
"Luu K., Savvides M., Bui T.D., Suen C.Y.","Compressed submanifold multifactor analysis",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","3", 7452654,"444","456",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012940910&doi=10.1109%2fTPAMI.2016.2554107&partnerID=40&md5=9ff6a2a37c4b3dcd3cfb0875491d349f","Although widely used, Multilinear PCA (MPCA), one of the leading multilinear analysis methods, still suffers from four major drawbacks. First, it is very sensitive to outliers and noise. Second, it is unable to cope with missing values. Third, it is computationally expensive since MPCA deals with large multi-dimensional datasets. Finally, it is unable to maintain the local geometrical structures due to the averaging process. This paper proposes a novel approach named Compressed Submanifold Multifactor Analysis (CSMA) to solve the four problems mentioned above. Our approach can deal with the problem of missing values and outliers via SVD-L1. The Random Projection method is used to obtain the fast low-rank approximation of a given multifactor dataset. In addition, it is able to preserve the geometry of the original data. Our CSMA method can be used efficiently for multiple purposes, e.g., noise and outlier removal, estimation of missing values, biometric applications. We show that CSMA method can achieve good results and is very efficient in the inpainting problem as compared to [1] , [2]. Our method also achieves higher face recognition rates compared to LRTC, SPMA, MPCA and some other methods, i.e., PCA, LDA and LPP, on three challenging face databases, i.e., CMU-MPIE, CMU-PIE and Extended YALE-B. © 1979-2012 IEEE.","compressed sensing; multifactor analysis; random projection; Tensor analysis; ℓ-norm optimization"
"Mitra A., Biswas S., Bhattacharyya C.","Bayesian modeling of temporal coherence in videos for entity discovery and summarization",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","3", 7457669,"430","443",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012863535&doi=10.1109%2fTPAMI.2016.2557785&partnerID=40&md5=18b831589c30e371ad06f29faa66fa67","A video is understood by users in terms of entities present in it. Entity Discovery is the task of building appearance model for each entity (e.g., a person), and finding all its occurrences in the video. We represent a video as a sequence of tracklets, each spanning 10-20 frames, and associated with one entity. We pose Entity Discovery as tracklet clustering, and approach it by leveraging Temporal Coherence (TC): The property that temporally neighboring tracklets are likely to be associated with the same entity. Our major contributions are the first Bayesian nonparametric models for TC at tracklet-level. We extend Chinese Restaurant Process (CRP) to TC-CRP, and further to Temporally Coherent Chinese Restaurant Franchise (TC-CRF) to jointly model entities and temporal segments using mixture components and sparse distributions. For discovering persons in TV serial videos without meta-data like scripts, these methods show considerable improvement over state-of-the-art approaches to tracklet clustering in terms of clustering accuracy, cluster purity and entity coverage. The proposed methods can perform online tracklet clustering on streaming videos unlike existing approaches, and can automatically reject false tracklets. Finally we discuss entity-driven video summarization- where temporal segments of the video are selected based on the discovered entities, to create a semantically meaningful summary. © 1979-2012 IEEE.","Bayesian nonparametrics; Chinese restaurant process; entity discovery; entity-driven video summarization; temporal coherence; temporal segmentation; tracklet clustering"
